sample_ID,depth_cm,age cal yrs BP median,wet vol cc,volume_cc,total spike,counted spkie,total pollen count,Pandanus echinate,Casuarinaceae,Lith Cast,Poaceae,Phyllocladus,Psilate monolete,Trilete others,Monolete others,Dacrydium,Urt Mor,Celtis Aphananthe,Cyperaceae,Mac Mall,Macaranga,Trema/ Parasponia,Polypodiaceae Davalliaceae type,Engelhardia rigida/serrata,Stemonurus celebicus,Arecaceae other,Unk LL8,Gironniera subaequalis,Acalypha,Podocarpus,Calamus,Weinmannia Caldcluvia prol,Agathis,Weinmannia Caldcluvia squat,Myrtaceae g17,Tetrameles,Myrtaceae -  Syzygium type,Garciniap164ii,Sapotaceae subprolate,Cyathea type,Vatica rassak flavovirens small,Vatica rassak flavovirens big,Saurauia,Elaeocarpus,Chionanthus cf,Erythrospermum/Casearia cf  LL23 LL15,Dipterocarpaceae g25,Santiria,Macadamia erect hildebrandii,Selaginella,type p219 p212,Dipterocarpaceae l22,Rapanea,type 93,Brassicaceae grouped,Nauclea Wendlandia types,Ficus,Pterospermum cf,Dacrycarpus,Comb Mel group,Calophyllum,Ilex,Canarium,Mallotus LL22,Gnetum gnemon,Gynostemma,Pteris Trilete A177 s58 s46,Elaeagnes triflora,type LL27 Sterculiaceae,Oncosperma,type LL19,Ulmus lanceifolia,Pandanus psilate,Hydrocotyle,Stenochlaena,Sapotaceae others,Lycopodium s57,Restionaceae,Adenanthera,Rutaceae type 2 LL21,Zizyphus Nephelium type,Sauropus,Dillenia,Rutaceae type 1,type LL2,c3p0 ret prol,Baccaurea,Haloragaceae other,Trichospermum cf,Ericaceae reticulate,Rotala cf,Myriophyllum,Haloragis micrantha,Solanaceae,Rhizophoraceae 160iii,Nothofagus,p401ii,Asteraceae tub.,Antidesma,Sapium Rutaceae,Begonia,Rhizophoraceae p161,Sterculia foetida,Helicteres,Meliacae,Madhuca type,Cupaniopsis,Ericaceae psilate,Strychnos,Loranthaceae,type LL4 p535,type p377,type LL18,type LL25,Utricularia,Eriocaulon,Drosera,Liliaceae,Mallotus p369,Dipterocarpus verrucosus,Acacia Albizia,Prunus javanica cf,Randia cf,Lophopetalum javanica torricellense,Crypteronia / Astronia,type 69,type LL5,type LL10,type LL11,type LL24,Lamiaceae sf p72,Caryophyllaceae,Plantago,Burmannia cf,Quercus,Blumeodendron endocarpum tokbrai,Hopea gregaria,Shorea teysmanniana,Mimosa,Ardisia type,Verbenaceae p403,Rhus type,Diospyros,Duabanga moluccana,Drimys,Schisandraceaa Kadsura,type p179,p507,type LL1,type LL3,unknown type p396ii,type p305ii,type LL20 C2P2,type P115ii,type LL30,Gonocaryum,l8um c3p3 ret,,Pteridophytes - other,total pollen conc
200,200.5,7545.3,2.5,0.407604,23840,296,335,3359.12,2371.14,7706.21,1580.76,12448.5,5137.48,1975.95,2173.55,2568.74,1383.17,395.19,395.19,592.786,592.786,592.786,1383.17,1383.17,1580.76,790.381,1185.57,790.381,790.381,592.786,1580.76,395.19,790.381,197.595,395.19,0,0,0,0,395.19,395.19,0,0,0,987.976,0,395.19,197.595,395.19,197.595,197.595,592.786,592.786,197.595,0,0,0,0,0,395.19,0,197.595,0,0,0,0,0,0,0,0,197.595,0,0,0,0,0,0,0,0,395.19,197.595,197.595,0,197.595,0,0,592.786,0,0,0,197.595,197.595,197.595,197.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.595,0,0,0,0,0,0,0,0,197.595,0,0,0,0,0,0,0,0,0,197.595,0,0,0,-14685.3,11262.9,63428.1
232,232.5,8497,2.5,0.383127,23840,120,238,23334.3,1555.62,18667.4,2074.16,1037.08,4666.86,2074.16,2074.16,4666.86,3111.24,3629.78,518.54,4148.32,3629.78,4666.86,518.54,518.54,7259.56,1555.62,3111.24,1037.08,1555.62,0,518.54,0,0,0,4148.32,1555.62,518.54,518.54,518.54,518.54,1555.62,0,1555.62,518.54,518.54,0,0,0,0,0,518.54,518.54,0,518.54,0,0,518.54,1555.62,0,518.54,0,0,0,0,1037.08,0,0,0,0,518.54,0,518.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.54,0,518.54,0,0,518.54,518.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.54,0,0,518.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.54,0,0,0,0,0,0,0,0,0,0,518.54,0,0,0,0,-14685.3,9852.26,118227
264,264.5,9614.8,2.5,0.572329,23840,109,331,21018.3,4967.95,8025.15,4585.8,1910.75,5732.25,14903.9,4967.95,8789.45,5732.25,1910.75,2675.05,1146.45,1910.75,1528.6,382.15,764.3,3439.35,2292.9,382.15,3057.2,1146.45,382.15,0,3057.2,0,1146.45,764.3,382.15,382.15,0,0,0,0,0,1910.75,764.3,0,0,382.15,0,0,0,0,0,0,382.15,0,0,382.15,1146.45,0,1528.6,382.15,0,0,0,0,0,382.15,0,0,0,0,0,0,0,0,0,0,0,764.3,0,0,0,382.15,0,0,382.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382.15,382.15,0,0,0,0,0,0,0,382.15,0,0,0,382.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,26368.4,118084
300,300.5,10934.7,2.5,0.476679,23840,187,384,12302.6,4279.16,9628.1,4011.71,2674.47,6686.18,6686.18,6686.18,5883.84,267.447,1069.79,1069.79,1872.13,2139.58,534.895,1872.13,2674.47,3476.81,534.895,3209.37,534.895,267.447,267.447,2407.03,1337.24,0,0,1069.79,0,267.447,534.895,802.342,534.895,2139.58,1337.24,267.447,0,0,802.342,534.895,0,534.895,534.895,267.447,267.447,267.447,802.342,0,1604.68,0,534.895,267.447,0,267.447,0,267.447,0,267.447,267.447,802.342,0,0,0,0,0,0,0,0,0,0,267.447,0,0,0,267.447,0,0,0,0,267.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.895,0,0,267.447,0,0,0,0,0,0,0,0,0,0,0,0,0,267.447,0,267.447,0,0,0,267.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,23802.8,100025
316,316.5,11519.3,2.5,0.483816,23840,130,250,16677.7,7201.72,6822.68,5685.57,1137.11,3032.3,4169.42,4927.49,2274.23,4169.42,3790.38,2274.23,1516.15,1137.11,1137.11,1895.19,379.038,0,379.038,0,0,758.076,1137.11,0,1137.11,1137.11,0,1516.15,1895.19,1895.19,0,379.038,379.038,379.038,0,758.076,1137.11,379.038,0,379.038,758.076,0,379.038,0,379.038,0,0,0,0,0,0,379.038,0,0,0,0,0,0,0,0,0,0,1516.15,0,379.038,0,379.038,0,379.038,0,0,0,0,379.038,0,0,0,0,379.038,0,0,0,0,379.038,0,0,0,0,0,0,0,0,0,0,0,0,379.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,14782.5,88315.8
332,332.5,11734.2,2.5,0.549331,23840,89,243,24381,9752.41,5851.45,9264.79,0,5363.83,8289.55,5363.83,5851.45,3413.35,1950.48,2438.1,1462.86,487.621,2438.1,487.621,487.621,0,975.241,975.241,4876.21,1462.86,975.241,487.621,975.241,2438.1,975.241,487.621,0,975.241,487.621,0,487.621,487.621,0,1462.86,0,487.621,0,487.621,487.621,0,0,0,0,0,0,975.241,0,0,487.621,487.621,0,0,487.621,0,0,975.241,0,487.621,0,0,0,0,0,0,0,0,487.621,0,0,0,0,0,487.621,0,487.621,0,0,0,0,0,487.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.621,0,0,0,0,0,-14685.3,20480.1,114103
364,364.5,12684.7,2.5,0.570322,23840,160,392,18549.2,9143.96,4702.61,9666.47,1045.02,4963.86,5486.37,2351.3,7053.91,3396.33,3135.07,2612.56,1045.02,1828.79,3657.58,0,261.256,0,1567.54,522.512,783.768,1567.54,1045.02,0,261.256,0,2351.3,783.768,783.768,261.256,0,783.768,783.768,261.256,261.256,261.256,522.512,0,522.512,0,522.512,261.256,522.512,0,261.256,261.256,0,0,0,261.256,0,0,522.512,0,783.768,261.256,0,783.768,0,261.256,0,0,0,0,261.256,261.256,0,0,0,0,0,0,0,0,0,261.256,0,0,0,261.256,261.256,261.256,0,261.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.256,0,0,0,0,261.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,14369.1,99277.2
380,380.5,12985.2,2.5,0.622237,23840,131,323,11113.8,8481.59,4387.03,10821.3,292.469,2924.69,4387.03,4094.56,3802.09,5556.91,2339.75,2047.28,1462.34,1754.81,2339.75,1462.34,0,0,2339.75,584.937,0,1462.34,292.469,0,1462.34,2047.28,292.469,292.469,1169.87,292.469,0,584.937,1169.87,292.469,0,877.406,292.469,292.469,292.469,0,0,292.469,292.469,0,0,0,292.469,877.406,292.469,584.937,292.469,292.469,292.469,292.469,0,0,0,0,292.469,0,0,0,584.937,0,584.937,0,292.469,0,0,584.937,292.469,0,0,292.469,0,0,0,0,584.937,0,0,877.406,0,0,0,0,0,0,292.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.469,0,0,0,0,0,0,0,0,0,292.469,0,0,292.469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,14915.9,90665.3
400,400.5,13362.9,2.5,0.660456,23840,74,230,22438.2,10243.5,8292.38,5853.45,0,3414.51,4390.09,5365.66,6341.24,2438.94,5365.66,6341.24,975.575,487.787,1463.36,487.787,0,0,3902.3,1463.36,0,1463.36,975.575,487.787,487.787,2438.94,0,0,0,487.787,0,0,487.787,975.575,0,487.787,0,487.787,0,487.787,487.787,0,0,0,487.787,0,0,487.787,0,487.787,2438.94,0,487.787,487.787,487.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.787,0,0,0,487.787,0,0,0,0,0,0,1463.36,0,0,0,0,0,0,0,0,0,487.787,0,0,0,487.787,0,0,487.787,0,487.787,0,0,0,0,0,0,0,0,0,0,487.787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,14145.8,109264
416,416.5,13674.1,2.5,0.625591,23840,295,538,6200.62,9042.56,2583.59,8655.03,775.077,3617.03,2712.77,1550.15,2066.87,2196.05,3487.85,4262.92,1937.69,904.256,1420.97,904.256,387.538,0,0,387.538,1033.44,516.718,516.718,0,387.538,1291.79,129.179,129.179,516.718,129.179,0,387.538,645.897,645.897,0,129.179,387.538,516.718,0,258.359,1033.44,387.538,0,0,0,258.359,0,258.359,258.359,387.538,129.179,258.359,0,258.359,129.179,0,0,0,0,129.179,0,0,0,0,0,129.179,129.179,0,0,129.179,129.179,0,0,0,0,0,0,0,0,0,258.359,258.359,129.179,129.179,0,0,258.359,0,0,0,0,0,0,0,0,0,0,0,129.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.179,0,0,0,0,0,0,129.179,0,0,0,0,0,0,0,0,0,129.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14685.3,9688.46,66269.1
